id_cliente,edad,departamento,plan,tipo_contrato,meses_antiguedad,cargo_mensual_soles,gb_datos_mes,minutos_llamadas_mes,lineas_adicionales,tickets_soporte_6m,caidas_servicio_mes,dias_ultimo_pago_vencido,factura_electronica,churn
CL800040,46.0,Lima,Postpago Básico,Mensual,24,55.38,15.2,265,0,3,3,3,1,0
CL800041,25.0,Lima,Prepago,Mensual,2,22.83,11.7,294,0,0,1,4,1,1
CL800042,70.0,Piura,Prepago,Mensual,1,25.9,2.8,415,0,0,1,3,1,1
CL800043,42.0,Lima,Postpago Premium,Mensual,6,122.96,47.3,418,0,1,1,1,0,1
CL800044,30.0,Piura,Prepago,Mensual,2,30.05,11.8,432,0,0,2,3,0,1
CL800045,35.0,Lima,Postpago Básico,Anual,1,58.23,14.8,275,0,1,0,5,0,0
CL800046,18.0,Lima,Postpago Básico,Mensual,2,57.48,7.1,510,0,3,2,2,1,1
CL800047,32.0,Lima,Postpago Plus,Mensual,1,75.15,31.4,590,1,2,1,0,0,0
CL800048,56.0,Lambayeque,Prepago,Mensual,9,26.56,3.0,303,2,0,2,11,0,0
CL800049,35.0,Lima,Prepago,Mensual,64,26.01,23.6,266,0,0,2,14,1,0
CL800050,39.0,Lima,Postpago Plus,18 meses,17,72.0,23.7,394,1,0,3,4,1,0
CL800051,35.0,Arequipa,Prepago,Mensual,8,30.27,3.1,258,1,0,4,1,0,0
CL800052,37.0,Cusco,Postpago Básico,Anual,4,58.61,16.7,518,1,0,0,0,1,0
CL800053,20.0,Áncash,Postpago Básico,Mensual,9,61.34,13.0,446,1,3,4,3,1,1
CL800054,49.0,Lima,Prepago,Mensual,1,32.87,8.0,541,3,0,1,3,1,0
CL800055,32.0,Cusco,Postpago Plus,Mensual,3,87.05,7.3,425,1,2,0,3,1,0
CL800056,60.0,Lima,Prepago,Mensual,15,29.18,2.7,217,1,0,0,1,0,0
CL800057,41.0,Áncash,Postpago Plus,18 meses,46,41.64,11.2,470,0,0,0,0,1,0
CL800058,48.0,Lambayeque,Postpago Plus,Mensual,13,95.8,28.9,468,2,0,1,0,0,0
CL800059,40.0,Cusco,Postpago Básico,Mensual,19,50.54,11.2,427,1,0,3,3,0,0
CL800060,33.0,Junín,Prepago,Mensual,1,26.87,8.7,463,0,0,0,5,1,0
CL800061,44.0,Lambayeque,Prepago,Mensual,9,25.58,11.3,420,0,1,2,2,1,0
CL800062,30.0,Lima,Prepago,Mensual,32,33.92,13.7,373,2,0,1,1,1,0
CL800063,32.0,Arequipa,Postpago Básico,Mensual,18,50.1,22.4,450,0,0,1,0,1,1
CL800064,43.0,La Libertad,Prepago,Mensual,7,27.51,7.6,111,0,0,4,11,0,0
CL800065,54.0,Lima,Prepago,Mensual,12,28.13,6.3,266,1,2,3,3,0,0
CL800066,49.0,Lima,Prepago,Mensual,20,34.54,5.2,189,0,0,1,8,1,0
CL800067,27.0,Lima,Prepago,Mensual,2,22.9,15.8,324,0,1,3,0,0,0
CL800068,33.0,Lima,Postpago Plus,Mensual,4,91.79,28.6,382,0,2,2,0,1,1
CL800069,39.0,Áncash,Prepago,Mensual,2,26.23,8.4,0,0,0,3,0,1,0
CL800070,28.0,Áncash,Prepago,Mensual,2,23.32,5.4,401,0,1,1,1,1,0
CL800071,32.0,Lima,Postpago Básico,18 meses,14,56.3,11.9,287,0,3,1,10,1,1
CL800072,20.0,La Libertad,Prepago,Mensual,1,29.85,15.1,308,2,1,1,5,1,0
CL800073,18.0,Cusco,Prepago,Mensual,6,31.71,5.0,275,0,0,4,3,0,0
CL800074,56.0,Junín,Postpago Premium,Mensual,38,107.27,31.9,663,1,1,4,0,1,0
CL800075,18.0,Lima,Prepago,Mensual,7,28.95,4.1,268,0,1,2,3,0,0
CL800076,35.0,Lambayeque,Prepago,Mensual,10,32.11,2.6,273,1,1,3,0,0,0
CL800077,32.0,Lambayeque,Postpago Premium,18 meses,18,150.27,24.4,441,0,2,2,1,1,0
CL800078,31.0,Lima,Postpago Premium,Mensual,19,93.24,12.3,547,0,0,1,6,0,0
CL800079,25.0,Áncash,Postpago Básico,Anual,6,51.47,20.0,304,1,0,2,1,1,0
CL800080,35.0,La Libertad,Postpago Plus,Mensual,8,45.87,34.7,493,1,0,2,0,1,1
CL800081,25.0,Lambayeque,Postpago Básico,Anual,17,31.48,13.5,320,0,0,3,1,0,1
CL800082,83.0,Lima,Postpago Básico,18 meses,22,51.74,14.2,491,0,2,0,0,1,0
CL800083,47.0,Lambayeque,Postpago Básico,Mensual,4,47.11,6.6,331,1,0,1,6,1,0
CL800084,76.0,Lambayeque,Prepago,Mensual,7,39.12,12.5,403,1,0,0,0,1,0
CL800085,42.0,Lima,Postpago Básico,Mensual,21,58.14,10.1,286,1,1,4,2,0,0
CL800086,,Lambayeque,Prepago,Mensual,9,35.65,7.6,425,0,0,3,1,1,0
CL800087,21.0,Lima,Prepago,Mensual,1,23.52,9.2,151,0,1,3,9,0,0
CL800088,36.0,Lambayeque,Prepago,Mensual,42,33.7,14.4,214,1,0,2,0,1,0
CL800089,54.0,Lima,Postpago Básico,Anual,12,59.51,20.2,542,1,1,3,0,1,0
CL800090,48.0,Cusco,Postpago Básico,18 meses,36,47.99,8.2,526,0,0,0,0,1,0
CL800091,43.0,La Libertad,Postpago Básico,Mensual,1,35.48,2.9,569,0,0,3,1,1,0
CL800092,18.0,Cusco,Postpago Plus,Mensual,64,79.19,2.7,413,0,0,1,2,1,0
CL800093,34.0,Arequipa,Prepago,Mensual,6,28.84,6.9,294,1,0,3,1,1,0
CL800094,37.0,Áncash,Postpago Básico,Mensual,4,56.42,27.4,167,1,3,2,3,1,0
CL800095,33.0,Piura,Prepago,Mensual,1,27.65,9.9,236,0,0,3,6,0,1
CL800096,34.0,Junín,Prepago,Mensual,25,27.91,17.0,305,0,1,1,1,1,0
CL800097,40.0,Lima,Postpago Básico,18 meses,24,49.54,13.6,590,0,1,1,4,1,0
CL800098,23.0,Lima,Prepago,Mensual,14,30.76,1.7,116,1,1,0,2,1,0
CL800099,53.0,Arequipa,Prepago,Mensual,4,24.01,14.3,335,0,2,2,2,0,1
CL800100,49.0,Arequipa,Prepago,Mensual,7,33.97,9.2,180,0,0,0,19,0,0
CL800101,21.0,Lima,Postpago Básico,Anual,7,49.87,6.6,296,2,3,4,1,1,0
CL800102,26.0,Arequipa,Postpago Básico,Anual,4,42.23,10.0,327,0,0,1,1,1,0
CL800103,53.0,Arequipa,Prepago,Mensual,21,36.9,8.0,218,0,0,0,0,1,0
CL800104,30.0,Junín,Postpago Básico,Mensual,16,49.6,16.9,600,0,1,1,2,1,0
CL800105,48.0,Lambayeque,Postpago Básico,18 meses,19,59.53,13.8,378,0,0,1,0,1,0
CL800106,52.0,La Libertad,Prepago,Mensual,13,33.58,16.6,342,2,0,2,0,1,0
CL800107,37.0,Junín,Prepago,Mensual,3,34.92,,454,0,1,2,0,1,0
CL800108,18.0,Lima,Prepago,Mensual,2,22.9,19.2,232,2,2,4,2,1,1
CL800109,73.0,La Libertad,Prepago,Mensual,2,23.78,3.3,196,0,1,2,2,1,0
CL800110,49.0,Cusco,Prepago,Mensual,11,29.5,4.7,299,0,3,3,4,0,1
CL800111,42.0,Junín,Prepago,Mensual,5,36.2,16.0,464,0,1,1,1,0,0
CL800112,45.0,La Libertad,Postpago Básico,Anual,75,41.85,32.2,382,1,0,1,2,1,0
CL800113,72.0,Áncash,Postpago Premium,Anual,8,130.9,65.3,637,2,4,2,0,0,1
CL800114,37.0,Arequipa,Prepago,Mensual,18,33.37,6.4,205,0,1,2,6,0,0
CL800115,28.0,Áncash,Postpago Premium,Anual,15,97.43,14.8,459,0,0,2,1,1,0
CL800116,45.0,Lambayeque,Postpago Básico,18 meses,5,63.8,15.1,313,1,0,3,0,1,1
CL800117,19.0,Lambayeque,Postpago Plus,Anual,7,77.93,26.9,507,3,2,3,0,1,0
CL800118,42.0,Lima,Postpago Básico,Anual,16,43.75,20.4,192,1,2,2,3,1,0
CL800119,35.0,Lima,Postpago Plus,Mensual,6,110.18,43.1,525,0,0,0,0,1,0
CL800120,21.0,La Libertad,Postpago Básico,Mensual,9,54.41,1.5,416,0,2,2,10,1,0
CL800121,36.0,Lima,Prepago,Mensual,16,31.2,2.8,311,2,1,2,2,1,0
CL800122,58.0,Arequipa,Postpago Básico,18 meses,7,51.55,13.8,295,1,2,0,0,1,0
CL800123,31.0,Lima,Postpago Plus,18 meses,8,80.05,11.3,436,0,0,2,17,1,0
CL800124,45.0,Lima,Prepago,Mensual,7,28.5,4.6,317,0,1,0,1,1,1
CL800125,,Arequipa,Prepago,Mensual,2,27.55,11.4,320,0,0,3,7,1,0
CL800126,51.0,Lima,Postpago Premium,Mensual,45,136.92,31.4,478,1,1,2,1,0,0
CL800127,54.0,Lima,Prepago,Mensual,5,33.46,8.6,410,2,0,3,9,0,0
CL800128,36.0,La Libertad,Prepago,Mensual,1,26.38,9.5,288,2,2,0,8,1,0
CL800129,18.0,Piura,Prepago,Mensual,1,22.09,13.2,376,0,0,3,0,1,0
CL800130,61.0,Lima,Prepago,Mensual,17,23.54,20.6,328,3,0,4,0,1,0
CL800131,38.0,Lima,Postpago Básico,Anual,3,63.73,7.8,518,0,3,0,0,0,0
CL800132,37.0,Lima,Prepago,Mensual,15,29.81,20.7,462,0,0,1,2,1,0
CL800133,52.0,La Libertad,Postpago Plus,Anual,7,84.68,15.0,599,3,0,1,0,1,0
CL800134,62.0,Arequipa,Prepago,Mensual,10,31.32,8.8,404,1,1,2,4,1,0
CL800135,26.0,Cusco,Postpago Básico,Mensual,14,45.57,15.1,461,0,1,2,1,1,0
CL800136,44.0,La Libertad,Prepago,Mensual,1,29.64,6.8,285,0,1,1,12,0,0
CL800137,37.0,Áncash,Prepago,Mensual,24,26.92,19.1,371,0,0,1,1,1,1
CL800138,62.0,Lima,Postpago Básico,Anual,1,56.0,10.1,287,1,0,1,11,0,0
CL800139,23.0,Piura,Postpago Plus,Anual,3,64.69,13.1,694,1,3,4,1,0,0
CL800140,55.0,Junín,Prepago,Mensual,13,35.06,10.4,574,0,2,2,4,0,0
CL800141,37.0,Lima,Postpago Plus,Mensual,13,101.89,,521,0,2,0,2,1,0
CL800142,22.0,Lima,Prepago,Mensual,7,36.41,6.3,354,0,1,0,0,0,0
CL800143,42.0,La Libertad,Postpago Premium,Mensual,3,125.94,32.5,518,1,1,6,4,0,1
CL800144,49.0,Cusco,Prepago,Mensual,1,28.25,5.4,356,0,1,4,3,0,0
CL800145,51.0,Arequipa,Prepago,Mensual,2,27.56,14.6,311,0,2,0,1,1,0
CL800146,19.0,Lima,Postpago Básico,Mensual,7,50.6,12.8,273,2,0,4,19,1,1
CL800147,44.0,Lima,Prepago,Mensual,12,31.62,13.6,228,0,0,4,0,1,0
CL800148,43.0,Junín,Postpago Básico,Mensual,13,57.12,11.4,451,0,3,3,2,1,1
CL800149,43.0,Arequipa,Prepago,Mensual,3,26.62,2.5,199,0,1,0,5,1,0
CL800150,41.0,Lima,Postpago Plus,Anual,2,67.51,10.4,412,1,0,3,0,1,0
CL800151,53.0,Lima,Prepago,Mensual,5,31.28,6.1,164,0,2,1,12,1,1
CL800152,35.0,Lambayeque,Prepago,Mensual,1,20.41,10.8,185,1,3,3,0,1,1
CL800153,43.0,Lambayeque,Prepago,Mensual,8,31.42,5.4,436,1,0,1,4,1,0
CL800154,40.0,Lima,Postpago Básico,Anual,12,50.11,,424,0,3,3,6,1,0
CL800155,22.0,Lima,Prepago,Mensual,1,35.66,7.1,446,0,1,1,9,1,1
CL800156,56.0,Lambayeque,Prepago,Mensual,2,28.3,11.3,319,0,0,2,2,0,0
CL800157,39.0,Lima,Postpago Básico,Anual,8,45.04,9.0,392,1,1,5,5,1,0
CL800158,21.0,Junín,Prepago,Mensual,5,29.08,18.3,187,2,0,1,0,0,0
CL800159,47.0,Lima,Prepago,Mensual,6,25.97,13.6,304,0,1,1,0,1,0
CL800160,42.0,Cusco,Prepago,Mensual,17,33.65,9.3,301,1,0,1,0,0,0
CL800161,25.0,Junín,Postpago Premium,Anual,7,107.88,65.6,675,0,1,3,6,0,0
CL800162,19.0,Junín,Postpago Básico,18 meses,4,43.2,6.4,214,2,1,0,0,1,0
CL800163,44.0,La Libertad,Postpago Premium,18 meses,3,123.43,39.6,560,0,0,1,1,1,0
CL800164,32.0,Arequipa,Prepago,Mensual,37,24.4,19.3,359,0,0,3,1,1,0
CL800165,18.0,Lambayeque,Prepago,Mensual,14,33.38,13.5,346,1,0,2,0,0,0
CL800166,59.0,Junín,Postpago Básico,18 meses,14,57.11,2.7,321,0,1,1,1,1,0
CL800167,36.0,La Libertad,Postpago Básico,Mensual,15,40.18,12.1,267,2,0,2,5,0,0
CL800168,35.0,Áncash,Postpago Plus,Mensual,10,56.91,14.8,744,0,1,5,4,0,0
CL800169,27.0,Áncash,Prepago,Mensual,10,24.98,12.9,127,1,0,3,0,0,0
CL800170,21.0,Junín,Postpago Premium,18 meses,7,136.38,34.2,648,0,0,5,2,1,0
CL800171,31.0,Junín,Prepago,Mensual,11,31.94,18.1,262,0,1,3,7,1,1
CL800172,54.0,Áncash,Postpago Básico,Anual,1,52.23,10.0,209,1,0,0,12,1,0
CL800173,30.0,Lima,Postpago Básico,18 meses,7,40.45,19.0,444,0,0,3,1,1,0
CL800174,18.0,Lima,Postpago Plus,Anual,1,70.59,7.7,549,2,2,2,6,0,0
CL800175,18.0,Lima,Prepago,Mensual,2,24.56,6.9,548,1,3,3,11,1,1
CL800176,,Arequipa,Postpago Básico,Mensual,15,50.0,17.5,522,1,0,2,1,1,0
CL800177,18.0,La Libertad,Postpago Plus,18 meses,3,94.18,21.5,388,0,0,0,8,1,0
CL800178,38.0,Áncash,Prepago,Mensual,18,30.98,19.3,417,0,0,0,4,0,0
CL800179,51.0,Arequipa,Prepago,Mensual,15,32.98,9.5,293,0,1,2,2,1,1
CL800180,41.0,Lima,Postpago Plus,Anual,4,42.27,16.3,557,1,0,1,1,1,0
CL800181,37.0,La Libertad,Postpago Plus,Mensual,28,60.7,14.2,583,0,2,1,3,1,0
CL800182,37.0,Cusco,Prepago,Mensual,13,37.95,6.6,137,0,1,1,6,0,0
CL800183,49.0,Lambayeque,Prepago,Mensual,1,33.87,2.1,258,3,0,2,0,0,0
CL800184,33.0,Lima,Prepago,Mensual,12,22.07,25.0,380,1,1,1,0,0,0
CL800185,38.0,Arequipa,Postpago Básico,Anual,18,43.0,38.4,279,0,0,1,0,1,0
CL800186,40.0,Junín,Postpago Plus,Anual,10,85.56,15.4,536,1,0,2,0,0,0
CL800187,18.0,La Libertad,Postpago Básico,18 meses,20,53.69,26.8,385,0,1,2,0,1,1
CL800188,55.0,Lima,Postpago Básico,Anual,15,39.53,28.7,295,0,2,2,0,1,0
CL800189,26.0,Junín,Prepago,Mensual,3,30.88,6.0,193,2,1,2,1,0,1
CL800190,33.0,Piura,Postpago Básico,Mensual,22,53.95,15.5,333,0,1,2,2,1,0
CL800191,42.0,Lima,Postpago Básico,Mensual,8,42.13,50.5,445,2,0,2,11,1,0
CL800192,22.0,Cusco,Prepago,Mensual,24,30.59,4.3,358,2,0,2,9,1,0
CL800193,58.0,Lima,Postpago Plus,Anual,21,70.53,,389,0,0,1,7,0,0
CL800194,58.0,Lima,Postpago Básico,18 meses,2,55.94,11.3,165,2,1,2,0,1,0
CL800195,40.0,Lima,Prepago,Mensual,32,25.55,8.1,590,1,0,3,2,1,0
CL800196,49.0,Lima,Postpago Básico,Anual,21,57.23,5.8,547,1,1,0,4,0,0
CL800197,36.0,Lima,Prepago,Mensual,41,17.62,4.9,229,0,0,2,6,0,0
CL800198,46.0,Cusco,Prepago,Mensual,17,28.31,5.7,328,0,0,1,1,1,1
CL800199,34.0,Piura,Postpago Plus,Mensual,2,99.97,34.8,631,0,0,3,2,1,0
CL800200,37.0,Arequipa,Postpago Premium,Mensual,7,122.28,15.7,440,3,0,1,8,1,0
CL800201,18.0,Junín,Postpago Plus,18 meses,6,78.03,24.9,421,0,2,1,1,0,0
CL800202,43.0,Lima,Prepago,Mensual,31,30.86,8.1,206,0,1,0,0,0,0
CL800203,59.0,Lima,Postpago Básico,Mensual,12,57.94,11.0,439,3,0,0,2,0,0
CL800204,23.0,Lima,Prepago,Mensual,1,29.04,13.6,0,1,2,3,3,1,0
CL800205,33.0,Arequipa,Prepago,Mensual,4,33.85,14.2,416,1,3,4,10,1,1
CL800206,36.0,Áncash,Postpago Básico,Anual,20,64.52,12.9,421,0,2,2,0,1,0
CL800207,18.0,La Libertad,Prepago,Mensual,13,30.44,7.6,239,0,0,3,3,1,1
CL800208,42.0,Junín,Prepago,Mensual,19,23.93,18.2,424,0,0,4,1,0,0
CL800209,50.0,La Libertad,Prepago,Mensual,1,21.61,9.6,116,0,1,2,1,0,0
CL800210,18.0,Lima,Prepago,Mensual,46,26.2,5.9,424,0,0,1,1,1,0
CL800211,28.0,Lima,Prepago,Mensual,6,24.3,7.2,341,0,0,2,2,1,1
CL800212,50.0,Lima,Prepago,Mensual,17,28.91,18.2,379,1,1,1,2,1,1
CL800213,39.0,Lima,Prepago,Mensual,8,28.93,11.0,192,3,0,3,0,1,0
CL800214,56.0,Áncash,Postpago Básico,Anual,10,66.46,8.5,342,0,1,2,18,1,1
CL800215,31.0,Cusco,Prepago,Mensual,2,30.88,3.4,398,1,0,3,6,1,0
CL800216,53.0,Lima,Prepago,Mensual,37,29.71,3.6,209,1,1,1,2,1,1
CL800217,59.0,Lima,Prepago,Mensual,11,22.4,11.6,239,1,1,3,4,1,1
CL800218,55.0,Cusco,Postpago Plus,Anual,2,83.3,64.5,564,0,2,0,0,0,0
CL800219,23.0,Lima,Postpago Básico,18 meses,6,47.99,22.1,316,0,1,0,3,1,0
CL800220,32.0,La Libertad,Prepago,Mensual,18,36.59,0.5,317,0,0,2,0,0,1
CL800221,36.0,Cusco,Postpago Básico,18 meses,27,37.54,20.0,402,1,0,2,9,0,0
CL800222,52.0,La Libertad,Postpago Premium,Mensual,50,128.29,20.0,411,0,1,3,2,0,0
CL800223,33.0,La Libertad,Postpago Básico,18 meses,3,58.3,5.4,415,0,2,3,0,1,1
CL800224,36.0,Lima,Prepago,Mensual,32,29.68,10.6,102,2,0,2,0,1,0
CL800225,38.0,Piura,Postpago Plus,Mensual,26,85.3,2.7,508,0,0,0,2,1,0
CL800226,49.0,Junín,Prepago,Mensual,1,24.43,8.5,378,0,0,5,0,0,1
CL800227,41.0,Áncash,Prepago,Mensual,5,35.65,7.5,395,0,0,1,1,1,1
CL800228,37.0,Lima,Prepago,Mensual,2,33.3,4.7,207,2,0,3,2,0,0
CL800229,63.0,Lima,Prepago,Mensual,2,29.92,10.9,428,0,1,2,5,0,0
CL800230,27.0,Arequipa,Prepago,Mensual,20,31.08,6.4,46,0,1,2,0,1,0
CL800231,53.0,Lima,Prepago,Mensual,16,34.4,2.7,417,1,0,2,1,1,0
CL800232,44.0,Lima,Postpago Premium,Mensual,20,134.05,40.7,573,0,1,6,3,1,0
CL800233,61.0,Lima,Postpago Básico,Anual,2,59.06,14.2,538,1,0,3,1,0,0
CL800234,39.0,Lima,Prepago,Mensual,21,26.11,7.2,71,0,1,1,10,0,1
CL800235,30.0,Arequipa,Postpago Plus,Anual,37,68.02,27.5,464,2,2,3,10,0,0
CL800236,37.0,Lima,Postpago Básico,Mensual,16,45.85,24.0,430,0,1,4,3,1,0
CL800237,40.0,Lambayeque,Postpago Plus,18 meses,7,83.95,20.6,464,0,2,0,20,1,0
CL800238,33.0,Lima,Postpago Plus,Mensual,15,86.34,33.7,590,0,0,0,14,1,0
CL800239,28.0,Lima,Postpago Básico,Mensual,14,53.02,7.4,255,2,1,1,30,0,1
CL800240,23.0,Lima,Prepago,Mensual,8,31.6,13.8,218,0,0,1,5,1,0
CL800241,25.0,Lima,Prepago,Mensual,13,18.87,3.1,430,2,0,1,1,0,0
CL800242,35.0,La Libertad,Postpago Básico,Mensual,2,37.55,4.5,543,1,1,1,0,1,0
CL800243,26.0,Arequipa,Prepago,Mensual,2,30.42,22.3,188,1,0,1,0,0,0
CL800244,41.0,Lima,Prepago,Mensual,4,26.87,9.1,197,1,1,1,0,1,0
CL800245,24.0,Piura,Postpago Premium,18 meses,19,118.54,23.2,724,1,1,4,2,1,0
CL800246,42.0,Lima,Postpago Básico,Mensual,2,67.51,24.8,380,0,1,1,7,1,0
CL800247,59.0,Lima,Postpago Básico,Anual,11,60.39,13.7,404,1,1,2,0,1,1
CL800248,43.0,Lambayeque,Prepago,Mensual,38,32.99,4.6,217,2,0,2,7,0,0
CL800249,57.0,Lima,Prepago,Mensual,17,25.94,8.2,412,1,0,2,2,1,0
CL800250,43.0,La Libertad,Postpago Plus,Mensual,23,53.88,9.8,402,0,1,2,3,0,1
CL800251,48.0,Lima,Prepago,Mensual,29,30.54,1.6,132,0,1,1,9,0,1
CL800252,59.0,Cusco,Prepago,Mensual,16,35.58,8.9,65,0,0,4,0,1,0
CL800253,,La Libertad,Prepago,Mensual,21,23.49,7.1,190,0,0,4,3,0,0
CL800254,40.0,Arequipa,Postpago Básico,18 meses,2,42.1,,189,0,1,3,1,1,0
CL800255,33.0,Lima,Postpago Básico,18 meses,2,55.83,25.3,521,0,1,0,0,0,0
CL800256,25.0,Cusco,Postpago Plus,18 meses,2,74.97,12.3,126,1,1,2,1,1,0
CL800257,26.0,Junín,Postpago Básico,18 meses,9,50.39,11.8,240,0,1,0,7,1,0
CL800258,50.0,Lima,Postpago Plus,Anual,8,90.91,13.7,519,0,0,6,0,1,1
CL800259,56.0,Arequipa,Prepago,Mensual,36,32.0,22.6,299,0,1,2,18,1,1
CL800260,24.0,Arequipa,Postpago Básico,Mensual,73,38.33,3.6,456,0,2,3,1,1,0
CL800261,63.0,Lima,Prepago,Mensual,3,28.74,3.1,230,0,0,3,1,1,0
CL800262,19.0,Lima,Postpago Básico,Anual,4,59.51,9.9,224,0,0,1,5,0,0
CL800263,44.0,Áncash,Postpago Básico,Mensual,11,46.03,18.1,396,2,1,3,1,1,0
CL800264,28.0,Lima,Postpago Premium,Anual,23,131.61,53.7,723,0,0,0,0,1,0
CL800265,49.0,Lambayeque,Postpago Básico,Mensual,16,54.88,5.6,507,0,1,0,5,0,0
CL800266,19.0,Lima,Postpago Premium,18 meses,2,123.72,37.3,524,0,2,3,14,1,1
CL800267,25.0,Arequipa,Prepago,Mensual,47,27.39,13.4,268,0,1,4,18,0,0
CL800268,40.0,Junín,Prepago,Mensual,1,29.32,2.5,422,0,1,2,7,1,1
CL800269,57.0,Lima,Postpago Plus,Mensual,26,89.92,70.3,428,0,0,1,10,1,0
CL800270,53.0,Lima,Prepago,Mensual,27,23.03,9.1,321,0,0,1,0,0,0
CL800271,41.0,La Libertad,Postpago Plus,Mensual,11,100.85,7.2,455,0,2,3,0,0,1
CL800272,50.0,Lima,Postpago Básico,18 meses,38,55.11,14.9,248,0,0,2,0,1,0
CL800273,18.0,La Libertad,Postpago Básico,18 meses,13,58.06,5.3,204,1,0,2,4,1,0
CL800274,31.0,Lima,Postpago Plus,Mensual,7,85.84,15.4,414,0,1,5,4,1,0
CL800275,25.0,Lima,Postpago Plus,Anual,8,97.04,12.9,395,3,1,2,1,0,0
CL800276,48.0,Lima,Prepago,Mensual,17,23.86,8.0,241,1,2,1,1,1,1
CL800277,34.0,Lima,Postpago Premium,Anual,8,129.27,15.6,552,2,0,2,1,1,0
CL800278,26.0,Lima,Prepago,Mensual,24,23.07,9.3,403,2,1,4,0,0,0
CL800279,50.0,Junín,Postpago Premium,Anual,25,119.18,2.4,476,0,2,2,5,1,0
