id_cliente,edad,departamento,plan,tipo_contrato,meses_antiguedad,cargo_mensual_soles,gb_datos_mes,minutos_llamadas_mes,lineas_adicionales,tickets_soporte_6m,caidas_servicio_mes,dias_ultimo_pago_vencido,factura_electronica,churn
CL104649,36.0,Lambayeque,Postpago Básico,Anual,3,42.09,10.6,456,0,0,1,10,1,0
CL100024,65.0,Lima,Postpago Plus,Anual,12,54.58,5.4,259,1,0,2,2,1,0
CL107304,51.0,Áncash,Postpago Básico,Anual,49,59.0,10.2,96,3,1,1,2,0,0
CL106790,37.0,La Libertad,Prepago,Mensual,10,34.36,4.3,667,2,0,0,8,0,0
CL101943,46.0,Arequipa,Prepago,Mensual,3,26.76,6.3,355,0,1,1,4,0,0
CL101142,28.0,Junín,Postpago Plus,18 meses,3,76.73,20.5,586,0,2,4,1,1,1
CL100096,42.0,Lima,Prepago,Mensual,16,19.53,5.0,123,2,0,0,3,1,0
CL104343,83.0,Lima,Prepago,Mensual,12,30.26,8.7,461,1,1,0,15,1,1
CL103183,20.0,Lima,Prepago,Mensual,52,24.34,9.8,543,1,0,2,6,1,0
CL101301,60.0,Lambayeque,Postpago Básico,Anual,7,51.02,21.4,422,2,0,0,2,1,0
CL105560,23.0,Junín,Postpago Premium,Mensual,9,111.36,,683,1,1,2,1,1,0
CL105646,22.0,Piura,Postpago Básico,Mensual,4,27.79,11.7,329,1,0,1,0,1,0
CL106295,45.0,La Libertad,Postpago Plus,Anual,7,57.67,,459,0,0,1,10,0,0
CL103764,18.0,Lima,Prepago,Mensual,21,30.53,2.5,417,1,0,1,2,1,0
CL100660,30.0,Lima,Prepago,Mensual,21,26.8,2.8,0,0,2,0,4,1,0
CL104601,29.0,Junín,Postpago Premium,18 meses,8,95.37,35.6,421,0,0,1,2,1,0
CL107448,18.0,Arequipa,Postpago Básico,Mensual,13,50.98,20.2,378,0,0,1,13,0,0
CL103793,45.0,Junín,Prepago,Mensual,35,20.78,12.7,308,1,1,1,8,0,0
CL102352,47.0,Cusco,Prepago,Mensual,7,28.89,26.3,450,0,0,1,1,1,0
CL103358,31.0,Cusco,Postpago Básico,Anual,20,46.24,12.2,469,0,1,0,4,1,0
CL107466,47.0,Cusco,Prepago,Mensual,41,28.72,5.1,278,1,2,0,6,0,0
CL103843,46.0,Lima,Postpago Básico,Anual,46,46.27,23.4,300,0,0,0,10,1,0
CL100830,42.0,Lima,Postpago Básico,Mensual,29,44.99,4.7,308,3,0,1,0,1,0
CL101924,35.0,Piura,Prepago,Mensual,52,19.92,13.2,213,0,1,1,4,1,0
CL107059,39.0,Junín,Postpago Básico,Mensual,30,30.69,5.0,374,0,1,1,1,1,0
CL101920,41.0,Áncash,Postpago Básico,18 meses,4,34.9,10.2,320,0,0,2,1,0,0
CL102698,38.0,Lima,Postpago Básico,18 meses,7,42.63,4.4,341,2,2,1,2,1,0
CL103446,51.0,Áncash,Postpago Básico,Mensual,12,38.45,15.0,387,2,0,2,4,0,1
CL105438,39.0,Áncash,Postpago Premium,Mensual,2,137.71,34.9,685,0,0,1,1,0,0
CL106663,33.0,Lima,Postpago Plus,Mensual,17,63.6,38.3,519,0,3,0,3,1,0
CL104881,47.0,Lambayeque,Postpago Básico,18 meses,6,34.29,12.6,225,1,1,1,2,1,0
CL104156,27.0,Arequipa,Postpago Premium,Mensual,29,114.95,,341,0,1,1,8,1,0
CL104683,48.0,Lambayeque,Postpago Plus,Mensual,14,78.38,12.1,368,2,2,0,0,1,0
CL107310,21.0,Lima,Postpago Básico,Mensual,18,50.65,20.1,342,1,1,0,3,1,0
CL106195,30.0,Lima,Postpago Básico,18 meses,31,39.49,13.7,331,0,0,1,6,1,1
CL102996,64.0,Lima,Postpago Básico,Anual,20,51.53,6.1,383,2,1,1,11,0,0
CL103494,38.0,Junín,Prepago,Mensual,40,25.32,10.2,202,0,0,0,2,1,1
CL106433,18.0,Lambayeque,Postpago Premium,Mensual,62,104.29,15.1,463,0,1,1,3,1,0
CL106949,18.0,Lima,Postpago Plus,Anual,17,81.03,15.3,521,0,1,0,0,1,0
CL105658,40.0,Cusco,Prepago,Mensual,96,22.19,23.0,296,1,0,0,3,0,0
CL105466,53.0,Lima,Postpago Plus,Mensual,13,64.97,24.5,259,1,1,0,5,0,0
CL104965,32.0,Cusco,Prepago,Mensual,14,24.2,2.5,388,0,1,4,1,1,0
CL102439,55.0,Lima,Postpago Plus,Anual,3,74.22,9.2,555,3,3,0,0,0,0
CL107016,25.0,Lima,Postpago Básico,Anual,16,36.9,,343,0,3,0,4,1,0
CL103962,28.0,Junín,Postpago Plus,Anual,4,67.2,11.7,635,0,0,0,5,1,0
CL104408,34.0,Lima,Postpago Plus,18 meses,67,92.09,24.2,405,0,0,1,0,0,0
CL103069,45.0,Lima,Postpago Básico,18 meses,15,58.66,3.4,427,2,0,0,3,1,0
CL107306,35.0,Lima,Prepago,Mensual,26,32.98,3.0,232,2,0,0,0,0,0
CL105310,36.0,Lima,Postpago Básico,Anual,2,44.55,12.0,626,1,2,2,0,1,0
CL106800,62.0,Lima,Postpago Básico,18 meses,26,40.44,15.8,410,0,1,0,3,0,1
CL106482,29.0,Lambayeque,Postpago Plus,18 meses,30,73.94,2.6,574,1,0,0,3,0,0
CL100689,48.0,La Libertad,Postpago Básico,18 meses,5,36.27,7.6,233,2,0,3,1,0,0
CL104285,27.0,Lima,Prepago,Mensual,21,25.13,20.0,434,1,1,3,6,0,0
CL104043,48.0,Lima,Postpago Premium,Anual,7,114.0,6.4,780,0,0,0,15,0,0
CL106266,31.0,Lambayeque,Prepago,Mensual,27,34.06,9.0,281,1,4,1,4,1,0
CL103760,55.0,Lima,Postpago Premium,Mensual,8,100.31,6.7,549,2,1,1,0,1,1
CL107469,18.0,Junín,Postpago Básico,Mensual,25,34.21,14.1,529,0,0,3,6,1,0
CL107309,30.0,Lima,Postpago Básico,Mensual,4,45.8,14.0,553,2,1,0,2,0,0
CL101184,38.0,Áncash,Prepago,Mensual,3,24.09,1.5,272,0,1,0,1,1,0
CL107080,34.0,Lima,Postpago Plus,Anual,1,69.41,10.9,264,0,0,3,5,1,0
CL102407,59.0,Junín,Prepago,Mensual,32,24.37,2.3,126,1,0,5,0,1,0
CL100126,39.0,Lima,Prepago,Mensual,10,24.98,18.1,396,0,1,0,4,1,0
CL102742,50.0,La Libertad,Prepago,Mensual,37,28.63,5.3,207,0,0,1,4,1,0
CL106719,29.0,La Libertad,Postpago Básico,Anual,48,43.31,14.9,322,1,1,2,1,1,0
CL103386,50.0,Junín,Postpago Básico,Anual,26,48.9,10.6,189,0,1,1,3,0,0
CL101395,56.0,La Libertad,Prepago,Mensual,21,24.22,14.3,134,3,0,1,2,1,1
CL100347,41.0,Cusco,Prepago,Mensual,21,23.6,23.3,309,0,0,0,3,1,0
CL102923,18.0,Lima,Postpago Básico,Mensual,66,33.9,7.9,259,1,3,1,0,0,0
CL103988,33.0,Lima,Postpago Premium,Mensual,4,130.58,21.4,578,2,0,1,11,1,1
CL101422,40.0,Lima,Postpago Básico,18 meses,10,48.41,5.0,374,0,0,3,4,1,0
CL105314,28.0,Lima,Prepago,Mensual,2,25.8,11.0,332,0,0,2,3,1,0
CL106978,27.0,La Libertad,Postpago Plus,Mensual,1,77.28,21.2,494,0,0,1,6,1,0
CL104014,58.0,Lima,Postpago Básico,18 meses,6,51.67,24.2,243,1,1,2,4,0,0
CL104678,56.0,Lima,Prepago,Mensual,10,20.89,8.0,309,1,0,2,4,1,1
CL105089,37.0,Cusco,Prepago,Mensual,80,32.89,12.1,303,1,1,0,1,0,0
CL102735,43.0,Lima,Postpago Básico,Anual,4,33.9,3.9,324,2,0,2,8,0,1
CL100136,18.0,Cusco,Postpago Premium,18 meses,1,116.73,8.1,657,3,1,1,2,1,0
CL104044,49.0,Lima,Postpago Básico,Mensual,27,48.98,16.8,559,1,1,1,0,1,0
CL104838,46.0,Cusco,Prepago,Mensual,9,26.19,,402,0,2,1,6,1,1
CL103857,50.0,Arequipa,Postpago Básico,Anual,35,41.13,12.5,195,1,0,1,3,1,0
CL101612,38.0,Piura,Postpago Plus,Mensual,44,60.39,32.4,637,0,2,0,0,0,0
CL107264,31.0,Lima,Postpago Básico,Mensual,5,41.39,22.5,445,1,1,1,2,0,0
CL100341,40.0,Lima,Postpago Premium,Mensual,1,106.44,24.6,568,1,1,2,0,0,0
CL102629,44.0,Junín,Prepago,Mensual,42,34.05,3.0,275,0,0,2,0,0,0
CL107260,42.0,La Libertad,Postpago Plus,Anual,7,58.67,32.1,290,0,1,1,3,0,0
CL105351,18.0,Junín,Postpago Plus,Mensual,48,59.38,17.0,591,0,0,2,0,1,0
CL103883,68.0,Lambayeque,Postpago Básico,Anual,3,35.24,31.1,489,3,2,0,9,0,0
CL100766,32.0,Cusco,Prepago,Mensual,4,19.81,3.8,247,1,0,0,2,0,0
CL103215,18.0,Arequipa,Postpago Plus,Anual,22,52.32,14.8,454,1,1,0,0,1,0
CL100068,18.0,Áncash,Prepago,Mensual,96,21.67,6.8,283,1,3,0,0,1,0
CL104632,37.0,La Libertad,Prepago,Mensual,31,27.93,17.2,208,0,1,0,2,0,0
CL104539,37.0,Lima,Prepago,Mensual,46,20.43,9.2,431,2,0,0,1,0,0
CL105021,49.0,Lima,Postpago Plus,Anual,5,68.82,31.2,316,1,2,0,0,1,0
CL107033,49.0,Lima,Prepago,Mensual,4,27.06,17.6,367,3,1,0,0,1,0
CL102226,,Cusco,Postpago Plus,Anual,3,65.94,,403,1,0,2,5,1,0
CL105176,32.0,Piura,Prepago,Mensual,2,24.8,8.0,0,0,0,0,1,1,0
CL105472,37.0,Lima,Postpago Premium,18 meses,7,115.44,20.2,550,1,2,0,1,1,1
CL101487,27.0,Lambayeque,Postpago Básico,Mensual,22,47.28,16.8,292,2,0,2,4,0,1
CL100523,40.0,Áncash,Postpago Básico,18 meses,69,49.26,31.4,109,0,0,2,0,1,0
CL100985,25.0,Junín,Postpago Premium,Anual,50,114.5,29.7,432,1,0,1,9,1,0
CL105152,33.0,Cusco,Postpago Básico,Anual,96,69.01,19.6,293,0,0,1,2,1,0
CL103208,36.0,Lima,Prepago,Mensual,35,33.73,10.1,174,0,0,1,2,0,0
CL105503,39.0,Lima,Postpago Básico,Mensual,21,36.52,2.9,308,2,1,0,2,1,0
CL101689,29.0,La Libertad,Postpago Básico,Anual,43,45.74,23.5,391,0,2,0,4,1,0
CL100572,35.0,Junín,Postpago Básico,18 meses,40,35.49,32.3,248,1,0,1,2,1,0
CL103136,41.0,La Libertad,Postpago Plus,Anual,14,71.02,12.8,396,0,0,1,7,0,0
CL105780,51.0,Junín,Postpago Premium,Anual,18,80.46,91.7,751,0,2,1,6,1,0
CL103397,51.0,Piura,Prepago,Mensual,29,27.08,17.7,349,2,0,0,0,0,0
CL102815,35.0,Lima,Postpago Básico,Anual,45,50.01,21.1,368,0,0,3,1,0,0
CL106202,42.0,Áncash,Postpago Básico,Anual,1,30.74,6.2,494,0,0,2,2,1,0
CL100584,50.0,Junín,Postpago Premium,18 meses,3,131.3,19.5,684,0,1,2,1,0,0
CL106544,48.0,Lima,Prepago,Mensual,11,26.16,20.2,243,0,0,0,9,1,0
CL101026,34.0,Áncash,Postpago Premium,Anual,73,106.91,41.9,650,0,0,0,11,1,0
CL107317,62.0,La Libertad,Postpago Premium,Mensual,70,128.08,9.2,212,1,0,2,5,1,0
CL106392,36.0,Junín,Prepago,Mensual,22,22.22,15.4,157,1,0,4,0,1,0
CL102979,42.0,Cusco,Postpago Plus,Mensual,14,76.65,12.6,463,2,0,1,0,1,0
CL106605,54.0,Junín,Prepago,Mensual,8,25.72,7.2,256,0,0,4,0,1,1
CL104663,52.0,Lima,Prepago,Mensual,50,19.14,3.2,396,1,0,2,0,0,0
CL105456,48.0,Junín,Prepago,Mensual,9,29.21,14.7,347,0,0,1,10,1,1
CL103522,49.0,Lima,Prepago,Mensual,15,31.48,1.9,236,0,1,2,1,1,1
CL100202,50.0,Junín,Postpago Básico,Mensual,9,51.8,26.3,513,1,1,0,4,1,0
CL100439,44.0,Lambayeque,Postpago Básico,Mensual,15,40.41,14.9,349,2,1,0,0,1,0
CL103249,27.0,Junín,Postpago Básico,Mensual,27,48.54,18.8,335,2,0,1,3,0,1
CL106370,38.0,Áncash,Postpago Plus,Anual,10,85.87,10.4,622,0,0,1,2,1,0
CL101173,46.0,Lambayeque,Postpago Plus,Anual,6,77.67,10.1,658,1,1,2,0,0,0
CL100981,22.0,Junín,Postpago Plus,Anual,4,57.13,18.5,461,0,1,2,10,1,0
CL101287,54.0,Lima,Prepago,Mensual,8,19.62,18.6,256,0,0,3,3,1,0
CL101298,58.0,Cusco,Postpago Plus,Anual,9,65.53,10.5,306,0,0,0,19,0,0
CL106149,23.0,Junín,Postpago Plus,Mensual,4,69.09,25.9,552,1,0,0,3,1,0
CL106310,50.0,Cusco,Prepago,Mensual,85,28.88,18.7,288,0,0,2,0,1,0
CL105721,30.0,Lima,Prepago,Mensual,23,19.97,6.1,132,1,2,2,1,1,0
CL100497,33.0,Áncash,Postpago Básico,Anual,24,48.89,33.5,172,0,1,1,14,0,1
CL103492,21.0,Lima,Postpago Plus,18 meses,60,62.33,11.9,416,0,2,3,0,1,0
CL107126,54.0,La Libertad,Prepago,Mensual,22,20.99,6.0,697,0,0,1,5,0,0
CL101857,52.0,Piura,Prepago,Mensual,16,21.56,16.2,282,2,2,3,9,1,0
CL104934,34.0,Lima,Postpago Básico,18 meses,8,49.57,4.5,380,0,3,0,0,0,1
CL101910,18.0,Lima,Prepago,Mensual,1,23.93,3.6,343,0,0,0,4,1,0
CL100853,32.0,Cusco,Postpago Premium,Anual,2,104.57,24.6,485,1,0,1,1,1,0
CL103035,37.0,Arequipa,Postpago Plus,Anual,79,74.21,47.6,467,0,3,0,5,1,0
CL105671,34.0,Lambayeque,Postpago Plus,18 meses,3,66.73,6.1,337,0,0,1,10,1,0
CL102209,18.0,Lima,Prepago,Mensual,16,22.05,14.9,351,0,1,1,1,1,0
CL106344,60.0,Lima,Prepago,Mensual,8,27.24,3.4,188,1,1,2,2,0,1
CL107385,40.0,Cusco,Postpago Plus,18 meses,29,80.08,18.0,429,0,0,1,1,0,0
CL106840,41.0,Lambayeque,Postpago Plus,18 meses,17,79.97,3.9,454,0,3,2,5,1,0
CL105211,77.0,Arequipa,Prepago,Mensual,8,26.79,12.3,0,0,0,0,0,1,0
CL107398,18.0,La Libertad,Postpago Premium,Anual,15,90.25,43.0,648,0,0,2,0,1,0
CL104751,61.0,Lima,Postpago Básico,18 meses,27,51.15,43.8,522,1,2,0,7,1,0
CL105346,30.0,Piura,Postpago Plus,18 meses,40,64.4,30.9,428,3,1,0,0,1,0
CL102060,75.0,La Libertad,Postpago Premium,Mensual,1,100.29,10.4,432,0,1,1,0,1,1
CL104648,51.0,Lima,Prepago,Mensual,2,20.06,8.6,339,1,1,1,1,0,0
CL101472,53.0,Cusco,Prepago,Mensual,8,24.59,11.7,195,0,0,0,10,1,0
CL103619,18.0,Lima,Postpago Premium,Anual,8,114.53,14.6,713,0,2,2,4,0,0
CL100302,39.0,Lima,Postpago Básico,Anual,42,50.07,64.4,369,1,1,2,17,1,0
CL100030,18.0,Lima,Postpago Plus,Mensual,5,79.79,10.5,495,2,0,2,1,1,0
CL102121,51.0,Arequipa,Prepago,Mensual,15,29.96,2.7,326,3,1,1,9,1,0
CL103340,29.0,Arequipa,Prepago,Mensual,21,25.03,17.8,106,1,2,3,4,1,0
CL103512,24.0,Lima,Postpago Premium,18 meses,13,106.24,,424,0,1,2,0,1,0
CL104232,54.0,Lima,Postpago Plus,Mensual,37,64.68,59.1,132,0,0,0,7,1,0
CL100976,61.0,Lima,Postpago Básico,Anual,1,36.33,9.6,198,0,1,0,8,0,1
CL102890,,La Libertad,Prepago,Mensual,11,27.46,5.1,471,0,0,2,6,1,0
CL102230,36.0,Junín,Prepago,Mensual,5,25.69,8.7,298,1,1,2,0,1,0
CL105883,37.0,Lima,Postpago Premium,Anual,4,137.86,,643,1,3,0,0,1,0
CL106736,21.0,Junín,Prepago,Mensual,73,21.17,10.0,40,0,0,3,0,1,1
CL102642,24.0,Áncash,Postpago Básico,Mensual,1,42.42,31.4,362,0,1,1,6,1,0
CL105249,43.0,Lima,Postpago Plus,Mensual,19,45.15,46.3,600,0,1,1,9,1,0
CL103519,45.0,Cusco,Postpago Plus,Mensual,56,79.34,9.5,354,0,1,1,3,1,0
CL107043,54.0,Piura,Prepago,Mensual,11,21.92,24.7,259,0,1,0,0,1,0
CL106841,35.0,Cusco,Postpago Premium,18 meses,6,112.28,29.9,511,0,0,0,1,0,0
CL101467,49.0,La Libertad,Prepago,Mensual,34,30.82,17.1,231,0,1,0,6,1,0
CL106118,35.0,Junín,Postpago Plus,Mensual,8,74.1,63.5,530,0,1,1,4,1,0
CL101411,24.0,Lima,Postpago Premium,Mensual,13,109.6,21.8,322,0,1,0,0,1,0
CL105661,61.0,La Libertad,Prepago,Mensual,3,28.77,13.3,390,1,0,1,4,1,0
CL102220,39.0,Lima,Prepago,Mensual,9,29.65,10.3,416,2,1,0,0,0,0
CL105593,43.0,Lima,Prepago,Mensual,10,31.73,11.1,367,0,2,3,0,1,1
CL106758,30.0,Arequipa,Postpago Básico,Anual,1,46.62,,416,0,0,0,1,0,0
CL105016,36.0,Lima,Postpago Básico,Mensual,96,44.82,9.6,436,2,0,0,1,1,0
CL104890,,Lima,Prepago,Mensual,34,24.76,15.5,219,2,1,1,4,1,0
CL107355,33.0,Lima,Postpago Básico,Anual,3,41.57,8.7,493,1,2,0,7,1,0
CL100635,29.0,La Libertad,Prepago,Mensual,52,35.04,8.1,393,0,2,0,0,1,0
CL100295,34.0,Lima,Postpago Premium,18 meses,44,101.14,29.3,493,0,0,2,2,1,0
CL103557,54.0,La Libertad,Postpago Premium,Anual,2,78.31,21.5,451,0,0,0,1,1,0
CL102804,43.0,Arequipa,Prepago,Mensual,20,18.21,4.7,351,0,0,1,1,1,0
CL101477,18.0,Lima,Postpago Premium,Mensual,96,119.6,47.2,470,1,0,1,0,0,0
CL101690,34.0,Lima,Postpago Plus,Mensual,37,100.27,8.6,425,2,0,0,2,1,0
CL106820,18.0,Áncash,Postpago Básico,Mensual,17,47.41,18.3,391,0,2,0,7,1,0
CL104203,18.0,Junín,Postpago Básico,Mensual,6,42.72,38.3,659,0,0,0,6,0,0
CL102994,18.0,Cusco,Postpago Básico,Anual,43,36.01,31.9,357,1,1,1,9,1,0
CL106104,62.0,Junín,Postpago Básico,18 meses,24,51.98,7.4,383,0,0,2,2,1,0
CL104365,49.0,Arequipa,Prepago,Mensual,13,22.86,8.7,151,1,0,1,0,1,0
CL103683,21.0,Lima,Postpago Básico,18 meses,41,43.57,32.4,444,1,1,0,2,0,0
CL105880,,Lambayeque,Prepago,Mensual,35,22.62,5.4,108,0,0,0,2,1,0
CL100835,43.0,Lambayeque,Postpago Básico,Anual,7,49.54,14.1,195,1,0,0,0,1,0
CL103960,50.0,Arequipa,Prepago,Mensual,44,24.2,11.8,224,3,1,0,1,1,0
CL102500,,Lima,Prepago,Mensual,4,26.4,4.7,141,2,3,1,15,1,0
CL101015,27.0,Piura,Prepago,Mensual,15,25.72,12.6,359,0,1,1,4,1,0
CL100392,41.0,Arequipa,Postpago Básico,18 meses,87,34.09,,522,0,0,3,5,1,0
CL105815,18.0,Lima,Postpago Plus,Mensual,5,62.15,52.5,382,0,0,4,4,1,0
CL107053,32.0,Lima,Postpago Básico,Mensual,39,57.5,31.7,365,0,2,2,3,1,0
CL106298,21.0,Cusco,Prepago,Mensual,15,21.53,7.5,152,0,0,0,2,1,0
CL102229,18.0,Lima,Postpago Básico,Anual,6,52.34,5.6,220,0,1,2,1,0,0
CL106219,50.0,La Libertad,Postpago Básico,18 meses,4,48.1,5.2,493,1,1,0,1,0,0
CL100170,40.0,Cusco,Prepago,Mensual,12,28.22,23.6,473,0,0,2,5,0,1
CL102419,42.0,Lima,Postpago Premium,Mensual,15,88.61,15.0,541,1,0,0,0,1,0
CL100117,33.0,Piura,Postpago Plus,Mensual,96,89.33,8.5,357,0,0,1,2,0,0
CL104118,43.0,Lima,Prepago,Mensual,8,24.62,9.5,287,0,1,1,1,1,0
CL104728,50.0,La Libertad,Postpago Básico,Mensual,10,48.32,,370,0,3,0,1,1,0
CL100444,21.0,La Libertad,Prepago,Mensual,14,25.5,13.0,262,0,1,0,0,1,0
CL102809,46.0,Arequipa,Prepago,Mensual,6,27.06,,244,0,2,0,4,1,1
CL107410,49.0,Arequipa,Postpago Plus,Anual,1,78.02,26.1,406,0,1,0,2,1,0
CL100649,49.0,Lima,Prepago,Mensual,18,22.61,10.0,249,2,1,0,0,1,0
CL105163,43.0,Junín,Postpago Básico,Anual,29,42.53,32.6,639,0,2,3,3,1,0
CL104558,32.0,Lambayeque,Prepago,Mensual,32,25.47,7.4,210,0,2,0,0,1,1
CL102536,34.0,Lima,Postpago Plus,Anual,30,81.49,33.5,410,2,1,1,4,1,0
CL103295,29.0,Arequipa,Postpago Premium,18 meses,13,123.13,51.3,322,0,0,1,3,1,0
CL100827,18.0,Lima,Prepago,Mensual,3,25.34,5.8,281,2,0,1,7,0,0
CL106309,22.0,Arequipa,Postpago Plus,18 meses,28,43.89,29.4,651,0,0,1,1,0,0
CL102622,48.0,Áncash,Prepago,Mensual,7,20.86,9.1,444,3,1,0,7,1,0
CL107222,39.0,Junín,Postpago Básico,Mensual,78,45.35,25.6,391,0,1,2,2,0,0
CL106054,50.0,La Libertad,Prepago,Mensual,36,20.93,13.3,41,2,0,2,0,1,0
CL104191,35.0,La Libertad,Postpago Plus,Mensual,28,48.8,5.9,429,1,0,2,4,1,0
CL101554,28.0,Cusco,Prepago,Mensual,13,24.33,2.3,264,2,0,1,1,1,0
CL102686,53.0,Lima,Prepago,Mensual,19,21.18,12.7,270,1,1,0,4,0,0
CL101470,38.0,Lima,Postpago Premium,Mensual,34,128.26,23.5,654,0,2,3,6,1,1
CL102382,28.0,Lima,Prepago,Mensual,13,20.95,8.5,205,2,1,1,8,0,1
CL101716,54.0,Arequipa,Prepago,Mensual,9,22.33,7.4,217,1,0,0,11,1,0
CL104183,18.0,Cusco,Postpago Básico,18 meses,6,39.18,21.2,285,0,2,1,1,1,0
CL106726,25.0,Cusco,Prepago,Mensual,58,28.68,8.4,133,2,1,1,7,0,0
CL106147,54.0,La Libertad,Prepago,Mensual,34,32.26,8.0,270,1,1,0,0,0,0
CL106535,41.0,La Libertad,Prepago,Mensual,3,22.03,37.8,368,3,0,0,3,1,0
CL100929,24.0,Junín,Postpago Plus,Anual,32,61.61,6.0,473,2,0,2,2,1,0
CL101009,61.0,Lima,Postpago Básico,Mensual,73,30.55,4.1,510,1,2,2,0,1,0
CL101347,20.0,Piura,Prepago,Mensual,28,29.95,8.2,185,1,0,2,2,1,0
CL103709,55.0,Junín,Postpago Plus,Anual,29,64.77,9.3,295,1,1,0,12,0,0
CL101661,18.0,Piura,Postpago Básico,Anual,1,39.3,19.0,295,0,2,0,1,1,0
CL101641,51.0,Junín,Prepago,Mensual,96,21.98,9.0,324,1,0,0,1,1,0
CL106683,30.0,Lima,Postpago Plus,Anual,9,90.22,1.4,479,0,1,2,3,1,0
CL103944,59.0,Arequipa,Prepago,Mensual,10,23.7,1.1,298,3,2,1,1,1,1
CL106811,35.0,Junín,Prepago,Mensual,86,24.31,13.1,579,1,0,3,21,1,0
CL101839,56.0,Áncash,Postpago Plus,Anual,23,77.58,14.3,512,0,1,1,6,1,0
CL104102,36.0,Lima,Postpago Básico,Mensual,33,40.31,41.5,377,2,1,0,0,1,0
CL104227,36.0,Lambayeque,Prepago,Mensual,45,17.29,4.8,152,1,0,4,6,1,0
CL103237,44.0,Lima,Prepago,Mensual,6,31.15,21.7,275,2,1,0,4,1,0
CL102373,22.0,Junín,Prepago,Mensual,17,19.62,5.6,399,0,0,0,4,1,0
CL107078,29.0,Arequipa,Prepago,Mensual,1,31.91,10.7,200,0,2,1,5,0,0
CL100627,32.0,Lambayeque,Prepago,Mensual,1,26.43,15.6,245,0,1,3,3,0,1
CL105726,64.0,Cusco,Postpago Básico,18 meses,22,40.29,14.8,617,1,1,3,0,0,1
CL102152,42.0,Áncash,Postpago Plus,18 meses,96,84.84,3.9,455,0,0,0,0,1,0
CL103114,45.0,Lima,Postpago Básico,Mensual,16,46.49,14.9,318,1,2,1,0,1,0
CL102199,44.0,Lima,Postpago Básico,Mensual,18,51.34,26.4,272,1,2,0,0,1,0
CL105673,56.0,Lima,Postpago Básico,Mensual,9,46.67,18.8,288,1,1,1,0,1,0
